0.236637 0.494426 
0.237751 0.574693 
0.242205 0.653846 
0.252227 0.736343 
0.271158 0.809922 
0.306793 0.876812 
0.356904 0.932553 
0.417038 0.969342 
0.496102 0.980491 
0.575167 0.969342 
0.638641 0.932553 
0.689866 0.880156 
0.732183 0.817726 
0.760022 0.747492 
0.778953 0.671683 
0.794543 0.592531 
0.805679 0.510033 
0.752227 0.471014 
0.721047 0.424192 
0.667595 0.404125 
0.609688 0.404125 
0.551782 0.415273 
0.481626 0.415273 
0.425947 0.404125 
0.368040 0.403010 
0.313474 0.420847 
0.278953 0.465440 
0.336860 0.481048 
0.365813 0.459866 
0.402561 0.458751 
0.435969 0.477703 
0.401448 0.484392 
0.365813 0.487737 
0.591871 0.478818 
0.624165 0.458751 
0.660913 0.463211 
0.690980 0.484392 
0.658686 0.489967 
0.623051 0.485507 
0.513920 0.460981 
0.509465 0.512263 
0.503898 0.560201 
0.499443 0.611483 
0.438196 0.657191 
0.468263 0.664994 
0.501670 0.672798 
0.537305 0.664994 
0.571826 0.656076 
0.390312 0.777592 
0.432628 0.750836 
0.472717 0.738573 
0.502784 0.745262 
0.532851 0.737458 
0.569599 0.747492 
0.611915 0.773133 
0.566258 0.786511 
0.528396 0.792085 
0.498330 0.796544 
0.467149 0.795429 
0.430401 0.792085 
0.407016 0.773133 
0.471604 0.756410 
0.501670 0.759755 
0.532851 0.754181 
0.594098 0.768673 
0.530624 0.758640 
0.499443 0.764214 
0.469376 0.760870 
0.752227 0.421014 
0.721047 0.374192 
0.667595 0.354125 
0.609688 0.354125 
0.551782 0.365273 
0.481626 0.365273 
0.425947 0.354125 
0.368040 0.353010 
0.313474 0.370847 
0.278953 0.415440 
